"text_group","keyword","n"
"Bedroom Computer","Any Age",2
"Start Dating","Any Age",0
"Drink Regularly","Any Age",0
"Try Drugs","Any Age",0
"Wear Makeup","Any Age",1
"View Porn","Any Age",1
"R-Rated Movie","Any Age",2
"Have Sex","Any Age",1
"Social Media","Any Age",2
"Smartphone","Any Age",0
"Try Alcohol","Any Age",1
"Bedroom TV","Any Age",4
"Unsupervised Parties","Any Age",0
"Swear","Any Age",1
"Bedroom Computer","5",2
"Start Dating","5",1
"Drink Regularly","5",0
"Try Drugs","5",0
"Wear Makeup","5",0
"View Porn","5",0
"R-Rated Movie","5",0
"Have Sex","5",0
"Social Media","5",0
"Smartphone","5",0
"Try Alcohol","5",0
"Bedroom TV","5",2
"Unsupervised Parties","5",0
"Swear","5",1
"Bedroom Computer","6",0
"Start Dating","6",0
"Drink Regularly","6",0
"Try Drugs","6",0
"Wear Makeup","6",0
"View Porn","6",0
"R-Rated Movie","6",0
"Have Sex","6",0
"Social Media","6",0
"Smartphone","6",0
"Try Alcohol","6",0
"Bedroom TV","6",0
"Unsupervised Parties","6",0
"Swear","6",1
"Bedroom Computer","7",0
"Start Dating","7",0
"Drink Regularly","7",1
"Try Drugs","7",0
"Wear Makeup","7",0
"View Porn","7",0
"R-Rated Movie","7",0
"Have Sex","7",0
"Social Media","7",0
"Smartphone","7",0
"Try Alcohol","7",1
"Bedroom TV","7",0
"Unsupervised Parties","7",0
"Swear","7",0
"Bedroom Computer","8",1
"Start Dating","8",1
"Drink Regularly","8",0
"Try Drugs","8",0
"Wear Makeup","8",0
"View Porn","8",0
"R-Rated Movie","8",0
"Have Sex","8",0
"Social Media","8",0
"Smartphone","8",0
"Try Alcohol","8",0
"Bedroom TV","8",1
"Unsupervised Parties","8",0
"Swear","8",1
"Bedroom Computer","9",1
"Start Dating","9",1
"Drink Regularly","9",0
"Try Drugs","9",0
"Wear Makeup","9",2
"View Porn","9",2
"R-Rated Movie","9",0
"Have Sex","9",0
"Social Media","9",0
"Smartphone","9",2
"Try Alcohol","9",0
"Bedroom TV","9",2
"Unsupervised Parties","9",1
"Swear","9",0
"Bedroom Computer","10",0
"Start Dating","10",2
"Drink Regularly","10",0
"Try Drugs","10",0
"Wear Makeup","10",2
"View Porn","10",4
"R-Rated Movie","10",1
"Have Sex","10",0
"Social Media","10",1
"Smartphone","10",4
"Try Alcohol","10",1
"Bedroom TV","10",3
"Unsupervised Parties","10",0
"Swear","10",1
"Bedroom Computer","11",1
"Start Dating","11",2
"Drink Regularly","11",0
"Try Drugs","11",0
"Wear Makeup","11",1
"View Porn","11",0
"R-Rated Movie","11",0
"Have Sex","11",0
"Social Media","11",3
"Smartphone","11",6
"Try Alcohol","11",0
"Bedroom TV","11",0
"Unsupervised Parties","11",1
"Swear","11",0
"Bedroom Computer","12",2
"Start Dating","12",5
"Drink Regularly","12",0
"Try Drugs","12",0
"Wear Makeup","12",7
"View Porn","12",1
"R-Rated Movie","12",1
"Have Sex","12",1
"Social Media","12",7
"Smartphone","12",4
"Try Alcohol","12",0
"Bedroom TV","12",1
"Unsupervised Parties","12",1
"Swear","12",2
"Bedroom Computer","13",2
"Start Dating","13",3
"Drink Regularly","13",1
"Try Drugs","13",1
"Wear Makeup","13",8
"View Porn","13",1
"R-Rated Movie","13",3
"Have Sex","13",2
"Social Media","13",7
"Smartphone","13",7
"Try Alcohol","13",1
"Bedroom TV","13",1
"Unsupervised Parties","13",2
"Swear","13",2
"Bedroom Computer","14",1
"Start Dating","14",8
"Drink Regularly","14",0
"Try Drugs","14",3
"Wear Makeup","14",7
"View Porn","14",0
"R-Rated Movie","14",5
"Have Sex","14",1
"Social Media","14",10
"Smartphone","14",13
"Try Alcohol","14",4
"Bedroom TV","14",1
"Unsupervised Parties","14",3
"Swear","14",1
"Bedroom Computer","15",3
"Start Dating","15",7
"Drink Regularly","15",0
"Try Drugs","15",4
"Wear Makeup","15",4
"View Porn","15",0
"R-Rated Movie","15",5
"Have Sex","15",4
"Social Media","15",6
"Smartphone","15",7
"Try Alcohol","15",1
"Bedroom TV","15",1
"Unsupervised Parties","15",5
"Swear","15",0
"Bedroom Computer","16",4
"Start Dating","16",18
"Drink Regularly","16",0
"Try Drugs","16",4
"Wear Makeup","16",12
"View Porn","16",2
"R-Rated Movie","16",10
"Have Sex","16",5
"Social Media","16",10
"Smartphone","16",13
"Try Alcohol","16",6
"Bedroom TV","16",5
"Unsupervised Parties","16",13
"Swear","16",1
"Bedroom Computer","17",4
"Start Dating","17",7
"Drink Regularly","17",2
